°íÀ¯¹øÈ£,¾ğ¾î,»óÈ£¸í,ÄÜÅÙÃ÷URL,ÁÖ¼Ò,½ÅÁÖ¼Ò,ÀüÈ­¹øÈ£,À¥»çÀÌÆ®,¿î¿µ½Ã°£,±³ÅëÁ¤º¸,È¨ÆäÀÌÁö ¾ğ¾î,´ëÇ¥¸Ş´º
12677,zh-CN,õèí¹(Tsukushi),https://chinese.visitseoul.net/restaurants/õèí¹Tsukushi1/CNP012675?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP012675,  89-7,04352 ?ß£??Ë°ÓŞÖØöÒë»Ê¶3 ,-6312,,ñ²ìéò¸ñ²çé  10:00~14:00 / 16:00~22:00 ñ²×¿ 14:00~21:00 ,"ò¢?1??  Ñõ?ó×  1?õóÏ¢,  252m",,ìíãÒñĞ?
3487,en,Basak,https://english.visitseoul.net/restaurants/Basak1/ENP003487?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP003487,"150-890 Yeouido-dong, Yeongdeungpo-gu, Seoul 44-14","150-890 383, Yeouidaebang-ro, Yeongdeungpo-gu, Seoul ",-2953,,11:30 a.m. - 2 p.m. / 6 p.m. - 12 a.m. | Saturday 6 p.m. - 12 a.m.,Line 9 Saetgang Exit 2  ,,Japanese tempura
31099,zh-CN,KaliŞìÓÑïÁ,https://chinese.visitseoul.net/restaurants/KaliŞìÓÑïÁ/CNP030983?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP030983,137-818 âÏ?ã¼ßúõ®?Û°ÛÎÔ×443-4 ??ÓŞù½4?,06692 âÏ?ã¼ßúõ®?Û°ÛÎô¹ÖØ21 ??ÓŞù½4?,-3356,,11:30 ~ 22:00 (KST),"ò¢? 2 / 4?? ŞìÓÑó× 11?õóÏ¢, 35m",,
11948,ja,Odarizip,https://japanese.visitseoul.net/restaurants/Odarizip-JP/JPP011944?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP011944,04536 «½«¦«ëã¼ñé?õ÷ÙëÖØ1Ê¶ 22-17 2?3Í­,04536 «½«¦«ëã¼«Á«å«ó(ñé)?«ß«ç«ó«É«ó8«Ê«®«ë28 (õ÷ÙëÖØ1Ê¶)2?3Í­,-8604,http://www.odarijip.com,08:10 ~ 24:00 (KST),"ò¢ù»?4?àÊ  ?«ß«ç«ó«É«ó?? £µÛãõóÏ¢,  209m",,
38578,ja,«Ï«¤«Ğ? (HIVER),https://japanese.visitseoul.net/restaurants/«Ï«¤«Ğ?-HIVER/JPP038558?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP038558, «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«Ì«µ«ó(?ß¾)Ô×166-127 ,03038 «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«ª«®«ó6«®«ë2 («Ì«µ«ó(?ß¾)Ô×) 1Í­HIVER,-13923,http://www.instagram.com/hiver.breadandcoffee,10:30-18:00 (KST),ò¢ù»?3?àÊ¡¸«­«ç«ó«Ü«Ã«¯«ó(ïÙİ¤«½«¦«ë??)¡¹? / ò¢ù»?5?àÊ¡¸«¯«¡«ó«Õ«¡«à«ó(ÎÃûùÚ¦)¡¹? / ò¢ù»?1?àÊ¡¸«·«Á«ç«ó¡¹? «Á«ç«ó«Î(ñ£ÖØ)09Ûã«Ş«¦«ë«Ğ«¹ğûïÃªÇù»ó³,,"ª¢ªó«Ğ«¿? \4,000 ÜğÚÌ«Ğ«²«Ã«È \3,800 «¤«Á«¸«¯«««ó«Ñ«Ë«å \3,800 «Ğ«¿?«×«ì«Ã«Ä«§«ë \4,000"
6632,zh-TW,Pishon,https://tchinese.visitseoul.net/restaurants/Pishon-TC/TCP006602?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP006602,140-893 âÏì³ã¼éÌß£Ï¡×Ş÷ÁêÂÔ× 135-55 ,04349 âÏì³ã¼éÌß£Ï¡×Ş÷ÁêÂÖØ27Ê¶101 ,-1189,,11:30 - 22:00 (KST) * Break time 15:00 - 17:00 (KST),ò¢ôÑ6ûÜàÊ×Ş÷ÁêÂó×2ûÜõóÏ¢,,ÛöÏĞ?ãİ
38075,ja,«È«ó«¤«ó«¹«¤?«Ä : «¶¡¤«Ò«å«ó«À«¤¡¤«½«¦«ë,https://japanese.visitseoul.net/restaurants/«È«ó«¤«ó«¹«¤?«Ä--«¶¡¤«Ò«å«ó«À«¤¡¤«½«¦«ë/JPP038028?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP038028, «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«è«¤«É(æ£ëøÓö)Ô×22 ,"07335 «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«è«¤«Ç«í108 («è«¤«É(æ£ëøÓö)Ô×, «Ñ?«¯«ï«ó)  «¶¡¤«Ò«å«ó«À«¤¡¤«½«¦«ëò¢ù»1Í­",-11710,,10:30-20:30 (KST),ò¢ù»?5?àÊ¡¸«è«¤«Ê«ë¡¹?1ÛãõóÏ¢ª«ªé427m,,"«¨«Ã«°«¿«ë«È \3,000 «¯«ë«ßªÎ«¿«ë«È \3,500 «Á«ç«³«¿«ë«È \5,500"
38076,zh-TW,Tongin Sweet THEúŞÓÛâÏì³ïÁ,https://tchinese.visitseoul.net/restaurants/Tongin-Sweet-THEúŞÓÛâÏì³ïÁ/TCP038028?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP038028, âÏì³çµÔôøİÏ¡æ£ëøÓöÔ×22 ,07335 âÏì³çµÔôøİÏ¡æ£ëøÓŞÖØ108£¨æ£ëøÓöÔ×£¬Parc1£© THEúŞÓÛâÏì³ò¢ù»1öµ,-11710,,10:30ò¸20:30 (KST),5ûÜàÊæ£ëøÔ¤Ï¢ó××î1ûÜõóÏ¢427Ú· ,,"Ó±Óµ£º3,000ùÛêª ú·ÓşÓµ£º3,500ùÛêª ÎåĞºÕôÓµ£º5,500ùÛêª"
38885,zh-CN,Dewey Coffee,https://chinese.visitseoul.net/restaurants/DeweyCoffee?/CNP038860?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP038860, âÏ?ã¼Ø«øİ?ß¾äÛÔ×2-127 ,03930 âÏ?ã¼Ø«øİ?àòäÛÖØ15Ê¶56£¨ß¾äÛÔ×£© ,-16139,https://instagram.com/dewey_coffee,11:00 ~ 20:00 (KST),??ØÚ?àòó×9?õóÏ¢ÜÆú¼244Ú·,,"â¢à?? 5,500?êª ?›¦?? 6,500?êª ÕÒøÜ?? 5,000?êª ÑÚ??? 5,000?êª"
12374,zh-CN,??ñéãı(Yeongyang Center),https://chinese.visitseoul.net/restaurants/??ñéãıYeongyang-Center/CNP012371?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP012371,100-011 âÏ?÷å?ã¼ñé?õ÷ÙëÖØìéÊ¶ 25-32,04535 âÏ?ã¼ñé?Ù¥Ô×2Ê¶52 ,-2711,,10:30 ~ 22:30 (KST),"ò¢? 4??  Ù¥Ô×ó× 5?õóÏ¢,  171m",,???îï?
8408,en,Hanuso,https://english.visitseoul.net/restaurants/Hanuso-EN/ENP008389?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP008389,"132-908 337-1, Chang-dong, Dobong-gu, Seoul ","01405 327, Nohae-ro, Dobong-gu, Seoul ",-10720,http://www.hanuso.com,Daily 11:00 - 21:30,"Subway Line 1/ 4  Changdong Station  Exit2,  301m",KOR,
8375,zh-CN,??íÂ?Ó¿â©??(Palpalminmuljangeo),https://chinese.visitseoul.net/restaurants/Palpal-Minmul-Jangeo-CN/CNP008359?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP008359,137-810 âÏ?ã¼ßúõ®??øİÔ× 745-10 ,06543 âÏ?ã¼ßúõ®?ŞãøÁÓŞÖØ335 ,-1581,http://880592.co.kr/,11:00~22:00,9?? ãæ??ó×1?õóÏ¢,,"???	÷åû³çíóÉ"
24729,zh-CN,SMTâÏ?,https://chinese.visitseoul.net/restaurants/SMT-Seoul-cn/CNP024724?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP024724,135-819 âÏ?ã¼Ë°Ñõ???Ô× ,06054 âÏ?Ë°Ñõ?åéñ¶ÖØ148Ê¶5(??Ô×) ,-15460,http://www.smt-seoul.com/ko/,,İÎÓĞ?¡¢7??Ë°Ñõ??ó×3?õóÏ¢,??¡¢çÈ?,
6190,zh-CN,Mamas,https://chinese.visitseoul.net/restaurants/Mamas34/CNP006187?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP006187,100-130 âÏ?÷å?ã¼ñé?âŞûúÔ× 6-17,04516 âÏ?ã¼ñé?à¤á³?ÖØ81 ,-2882,http://cafemamas.co.kr/,"øÁìí08:00~20:00, ñ²×¿10:00~19:30, ñ²ìí10:00~19:00 KST",2?? ã¼ïÙİ¤ó×10?õóÏ¢  ,,??? 
7181,en,Subin Tteokgalbi,https://english.visitseoul.net/restaurants/Subin-Tteokgalbi22/ENP007180?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP007180,"120-824 Yeonhui-dong, Seodaemun-gu, Seoul 81-13","03699 29, Yeonhui-ro 25-gil, Seodaemun-gu, Seoul ",-10206,,"11:30-15:00, 17:00-21:00 KST","Subway Line 2, Sinchon Station, Exit 3, take Village Bus No. 3 and get off at Hansung Chinese Middle and High School.  ",,Korean Set Menu
38369,ja,«««Õ«§«ì«¤«ä?«É¡¤«¢«ó«°«¯ïÁ,https://japanese.visitseoul.net/restaurants/«««Õ«§«ì«¤«ä?«É¡¤«¢«ó«°«¯ïÁ/JPP038318?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP038318, «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«Á«§(î±)Ô×84-14 ,03059 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«×«¯«Á«ç«ó«í2«®«ë2-3 («Á«§(î±)Ô×) ,,https://www.instagram.com/cafe_layered,?ìí08:00 - 22:00,"ò¢ù»?3?àÊ¡¸«¢«ó«°«¯(äÌ?) ¡¹?  2ÛãõóÏ¢ ,   64m",,"«×«ì?«ó«Û?«à«á«¤«É«¹«³?«ó \4,800  «¹«È«í«Ù«ê?«¹«³?«ó \5,200 «¢?«ë?«°«ì?«¹?«³?«ó \5,200 «Ö«ë?«Ù«ê?«¹«³?«ó \5,200"
38028,ko,ÅëÀÎ½ºÀ­ ´õÇö´ë¼­¿ïÁ¡,https://korean.visitseoul.net/restaurants/ÅëÀÎ½ºÀ­-´õÇö´ë¼­¿ïÁ¡/KOP038028?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP038028, ¼­¿ï ¿µµîÆ÷±¸ ¿©ÀÇµµµ¿ 22 ,"07335 ¼­¿ï ¿µµîÆ÷±¸ ¿©ÀÇ´ë·Î 108 (¿©ÀÇµµµ¿, ÆÄÅ©¿ø) ´õÇö´ë¼­¿ï ÁöÇÏ 1Ãş",02-3277-8513,, 10:30 ~ 20:30 ,5È£¼± ¿©ÀÇ³ª·ç¿ª 1¹ø Ãâ±¸¿¡¼­ 427m,,"¿¡±× Å¸¸£Æ® 3,000¿ø È£µÎ Å¸¸£Æ® 3,500¿ø ÃÊÄÚ Å¸¸£Æ® 5,500¿ø"
40095,zh-TW,The Spot Fabulous,https://tchinese.visitseoul.net/restaurants/TheSpotFabulousÛå/TCP039727?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP039727, âÏì³ñéÏ¡Ù¥Ô×2Ê¶105 ,"04535 âÏì³ñéÏ¡Ù¥Ô×2Ê¶22£¨Ù¥Ô×2Ê¶£© 1,2Ãş",-3828,https://www.instagram.com/the_spot_fabulous_/,ñÎŞÌ~ñÎì£  10:00~22:50 ñÎß² 10:00~22:35,"ò¢ôÑ  4ûÜàÊ  Ù¥Ô×ó×  5ûÜõóÏ¢ ,  311m",,"ıÙò¹Ø«Ø©ó³??? 6,800ùÛêª â¢íÂúÅõ®ÑÚôÑ 6,500ùÛêª ÊóĞ¹áºöè 7,500ùÛêª"
46071,en,HANCOOK,https://english.visitseoul.net/restaurants/hancook/ENP3lqu3a?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP3lqu3a, ¼­¿ï ¿ë»ê±¸ ¿ë»êµ¿2°¡ »ê 1-3 ,"04340 Observatory T3 floor, 105 Namsan Park-gil, Yongsan-gu, Seoul ",-12667,https://www.nseoultower.co.kr/visit/restaurant2.asp,Open daily from 12:00 to 22:00 (Break time: 16:00 to 17:00 / Last order: 20:00),"Subway Line 3  Dongdaemun Station  Exit 6,  take Bus 01A and get off at Namsan Seoul Tower stop, then walk 360m","KOR,ENG",
23448,zh-CN,Dep trai,https://chinese.visitseoul.net/restaurants/deptrai-cn/CNP023442?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP023442,110-524 âÏ?÷å?ã¼?ÖØ?Ù¥?ŞÌÊ¶ 170-2 ,03079 âÏ?ã¼?ÖØ?ÓŞ?ÖØ11Ê¶41-4 ,-3761,http://www.instagram.com/dep_trai_korea,11:00 - 22:00 (KST) ,"ò¢?4??  û³ûùó×  4?õóÏ¢,  266m  ",??,
7862,ja,óøàØÓÑ ÙÊÔ×ïÁ ,https://japanese.visitseoul.net/restaurants/óøàØÓÑ£¨ÙÊÔ×ïÁ£©/JPP007859?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP007859,158-849 «½«¦«ëã¼åÕô¹?ãæïÍÔ×86-8 ,08010 «½«¦«ëã¼«ä«ó«Á«ç«ó«°(åÕô¹?)«â«¯«È«ó«É«ó«í12«®«ë20  (ãæïÍÔ×),-3309,http://www.chaesundang.co.kr/,11:00-22:00  ,ò¢ù»?5?àÊ¡¸«ª«â«Ã«­«ç¡¹?7ÛãõóÏ¢ ,ùÛ?åŞ,÷åàÔ«é«ó«Á«á«Ë«å?¡¢«¹«Ú«·«ã«ë«í?«¹ª·ªãªÖª·ªãªÖ¡¢«¹«Ú«·«ã«ëª·ªãªÖª·ªãªÖàüªêùêªïª» 
7863,zh-CN,óø?ÓÑ (ÙÌÔ×ïÁ) ,https://chinese.visitseoul.net/restaurants/óø?ÓÑ-ÙÌÔ×ïÁ/CNP007859?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP007859,158-849 âÏ??ô¹?ãæïÍÔ× 86-8 ,08010 âÏ?ã¼?ô¹?ÙÊÔ×?ÖØ12Ê¶20  ,-3309,http://www.chaesundang.co.kr/,11:00 ~ 22:00  ,5?? çüÙÊ?ó×7?õóÏ¢  ,,÷åû³çíóÉ ïñ?×ìô±ë¿??? ???ïñ???
38870,ko,Â÷¸¸´Ù ¼­¿ï½£Á¡,https://korean.visitseoul.net/restaurants/Â÷¸¸´Ù-¼­¿ï½£Á¡/KOP038870?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP038870, ¼­¿ï ¼ºµ¿±¸ ¼º¼öµ¿1°¡ 685-480 ,04768 ¼­¿ï ¼ºµ¿±¸ ¼­¿ï½£2±æ 28-12 (¼º¼öµ¿1°¡) ,02-6448-0812,https://www.instagram.com/charmandre_official/,ÆòÀÏ 11:30 ~ 21:30 (Break Time 15:00 ~ 17:30) ÁÖ¸» 12:00 ~ 21:30 (Break Time 15:00 ~ 17:00) °øÈŞÀÏ 12:00 ~ 21:30 (Break Time 15:00 ~ 17:00),"ÁöÇÏÃ¶ ¼öÀÎºĞ´ç¼± ¼­¿ï½£¿ª 5¹ø Ãâ±¸,  500m",,"¼ÎÆÛµåÆÄÀÌ 24,000¿ø ÇÇ½¬&Ä¨½º 32,000¿ø"
39733,ko,¾îÂ¼´Ù »êÃ¥,https://korean.visitseoul.net/restaurants/¾îÂ¼´Ù-»êÃ¥/KOP039733?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP039733, ¼­¿ï Á¾·Î±¸ µ¿¼şµ¿ 1-83 ,"03086 ¼­¿ï Á¾·Î±¸ µ¿¼ş±æ 101 (µ¿¼şµ¿, Çö´ë¿¤¸®º£ÀÌÅÍ ºôµù) ÁöÇÏ 1Ãş",02-747-7147,https://www.instagram.com/ujd.promenade/,12:00 ~ 21:00,4È£¼± ÇıÈ­¿ª 1¹ø Ãâ±¸,,"¿¡½ºÇÁ·¹¼Ò 5,000¿ø ¾Æ¸Ş¸®Ä«³ë 5,500¿ø ¶ó¶¼ 6,500¿ø ÇÃ·§ È­ÀÌÆ® 6,500¿ø"
12310,zh-CN,Yeolchajip ,https://chinese.visitseoul.net/restaurants/Yeolchajip-CN/CNP012120?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP012120,110-160 âÏ??ÖØ?ÍëøÁÔ× 130-1 ,03158 âÏ?ã¼?ÖØ??ÖØ7Ê¶47  ,-4714,http://trainhouse.blogspot.kr/ ,øÁìí11:00~23:00£¬ñ²×¿14:00~22:30£¬ñ²ìí14:00~21:00 KST,"ò¢?1??  ??ó× 2?õóÏ¢,  98m",,ìéÚõ?ãÒÖù×â
3163,en,Nampomyeonok,https://english.visitseoul.net/restaurants/Nampomyeonok/ENP003160?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP003160,"100-180 121-4 Dadong, Jung-gu, Seoul ","04522 24, Eulji-ro 3-gil, Jung-gu, Seoul ",-2946,,Mon ~ Fri 11:30 ~ 22:00 (KST) Sat ~ Sun 11:30 ~ 21:00 (KST),"Subway Line 2  Euljiro 1-ga Station  Exit 1-1,  150m ",,"Naengmyeon (cold buckwheat noodles,) Galbi Soup (short rib soup,) Fish Bowl Tray"
13745,zh-TW,ëŞñ¹ïÍ(Eunjujeong),https://tchinese.visitseoul.net/restaurants/ëŞñ¹ïÍEunjujeong/TCP013741?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP013741,100-330 âÏì³÷åÜ¬ã¼ñéÏ¡ñÇÎéÔ× 43-23,04546 âÏì³ã¼ñéÏ¡óãÌÔÏàÖØ8Ê¶32 ,-6500,https://www.instagram.com/eunjujeong1986,10:00 ~ 22:00 (KST),"ò¢ôÑ 2/5ûÜàÊ ëàò¨ÖØ4Ê¶ 4ûÜõóÏ¢,  222m",,ß²öµë¿
39380,ja,«½«¦«ë«³?«Ò?«¤«¯«½«óïÁ,https://japanese.visitseoul.net/restaurants/«½«¦«ë«³?«Ò?«¤«¯«½«óïÁ/JPP039310?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP039310, «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«¤«¯«½«óÔ×166-31 ,03133 «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«¹«Ô«ç«í28«®«ë33-3 («¤«¯«½«óÔ×) ,-6719,https://www.instagram.com/seoulcoffee1945/,?ìí 11:00-22:00 («é«¹«È«ª?«À? 21:30),"ò¢ù»?1/3/5?àÊ¡¸«Á«ç«ó«Î«µ«à«¬(?ÖØ3Ê¶)¡¹?  4ÛãõóÏ¢ ,  150m  ",,"ª¢ªó«Ğ«¿?ãİ«Ñ«ó\4,500 «Ó«¨«ó«Ê«ß«ë«¯«Æ«£?\7,000"
30138,ja,Kervan «³«¨«Ã«¯«¹(COEX)ïÁ,https://japanese.visitseoul.net/restaurants/kervan-coex-branch-jp/JPP029977?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP029977,135-975 «½«¦«ëã¼Ë°Ñõ?ß²à÷Ô×159 ,06164 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«İ«ó«¦«ó«µ«í524 (ß²à÷Ô×)«³«¨«Ã«¯«¹(COEX)«â?«ëò¢ù»1Í­,-5243,https://www.instagram.com/kervankorea/,øÁìí 11:00 ~ 15:00 / 16:30 ~ 22:00 (KST) ñÎØÇ 11:00 ~ 22:00 (KST),"ò¢ù»?2?àÊ¡¸«µ«à«½«ó(ß²à÷)¡¹? 5ÛãõóÏ¢,  319m ò¢ù»?9?àÊ¡¸«İ«ó«¦«ó«µ¡¹? 7ÛãõóÏ¢,  9m",,
4223,zh-CN,La Saveur,https://chinese.visitseoul.net/restaurants/La-Saveur2/CNP004220?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP004220,137-804 âÏ?ã¼ßúõ®??øİÔ×90-10 ,06577 âÏ?ã¼ßúõ®?à¤äóÖØ24 ,-8469,https://www.instagram.com/lasaveur_seoul/,11:30 ~ 15:00 / 17:30 ~ 22:00 (KST),"ò¢?9?? ãæ?øİó× 4?õóÏ¢,  884m",,Ûö?Öù×â
7180,zh-CN,â©?Ò´?ÛÉÍé,https://chinese.visitseoul.net/restaurants/â©?Ò´?ÛÉÍé¼öºó¶±°¥ºñ44/CNP007180?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP007180,120-824 âÏ?ã¼à¤ÓŞ??æÅıûÔ× 81-13,03699  âÏ?ã¼à¤ÓŞ??æÅıûÖØ25Ê¶29 ,-10206,,"11:30~15:00, 17:00~21:00 KST",ò¢?2?? ãæõ½ó× 3?õóÏ¢£¬ã«ñ¦3ÖØ?õ½÷éŞÍ£¬î¤?àò??ñéÍÔù»?  ,,?ïÒãİ
38880,en,Charmandre Seoul Forest,https://english.visitseoul.net/restaurants/CharmandreSeoulForest/ENP038870?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP038870," 685-480, Seongsu-dong 1-ga, Seongdong-gu, Seoul ","04768 28-12, Seoulsup 2-gil, Seongdong-gu, Seoul ",-7180,https://www.instagram.com/charmandre_official/,Weekdays 11:30 - 21:30 KST (Break 15:00 - 17:30 KST) Weekends 12:00 - 21:30 KST (Break 15:00 - 17:00 KST) Holidays 12:00 - 21:30 KST (Break 15:00 - 17:00 KST),"Subway Suin?Bundang Line  Seoul Forest Station  Exit 5,  500m",KOR,"Shepherd's Pie - KRW 24,000  Fish & Chips - KRW 32,000"
12333,zh-TW,Yeolchajip,https://tchinese.visitseoul.net/restaurants/Yeolchajip-TC/TCP012120?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP012120,110-160 âÏì³ã¼ñ¤ÖØÏ¡ÍëøÁÔ×130-1 ,03158 âÏì³ã¼ñ¤ÖØÏ¡ñ¤ÖØ7Ê¶47  ,-4714,http://trainhouse.blogspot.kr/ ,øÁìí11:00~23:00£¬ñÎ×¿14:00~22:30£¬ñÎìí14:00~21:00 KST,"ò¢ôÑ1ûÜàÊ ñ¤ÊÈó× 2ûÜõóÏ¢,  98m",ùÛÙş,
29985,zh-TW,Kervan ×Ş÷ÁêÂïÁ,https://tchinese.visitseoul.net/restaurants/Kervan×Ş÷ÁêÂïÁ/TCP029949?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP029949,140-858 âÏì³ã¼×£ß£Ï¡×Ş÷ÁêÂÔ×127-2 ,04406 âÏì³ã¼×£ß£Ï¡×Ş÷ÁêÂÖØ192 (×Ş÷ÁêÂÔ×) ,-5479,https://www.instagram.com/kervankorea,11:00~06:00 (KST),ò¢ôÑ6ûÜàÊ ×Ş÷ÁêÂó× 3ûÜõóÏ¢£¬97Ú·,,
39378,ja,«®«ã«é«ê?«½«è«ó«««Õ«§,https://japanese.visitseoul.net/restaurants/«®«ã«é«ê?«½«è«ó«««Õ«§/JPP039309?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP039309, «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«¯«¡«ó«Î«óÔ×142-3 ,03134 «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«½«¹«ó«é«®«ë149 («¯«¡«ó«Î«óÔ×) 1Í­,-4270,,øÁìí 10:00 ~ 22:00 (KST) ÷Ïèøìí 11:00 ~ 22:00 (KST) ìíèøìí 11:00 ~ 18:00 (KST),"ò¢ù»?1/3/5?àÊ¡¸«Á«ç«ó«Î«µ«à«¬(?ÖØ3Ê¶)¡¹?  7ÛãõóÏ¢ ,  527m  ",,"«½«è«ó«««­Ş¼\15,000 «½«è«ó«°«ì?«×«Õ«ë?«Ä«·«í«ó«Æ«£?\6,500 «½«è«óª·ªëª³(Ìùï½«á«Ë«å?)\8,000 «¢«á«ê««?«Î\5,000"
7172,zh-CN,[ÛİÒ´ÖÕïÁ] ?ß£ó×îñ??(1962) ,https://chinese.visitseoul.net/restaurants/?ß£ó×îñ??1962-¿ë»ê¿ªÀüÈ¸°ü19624/CNP007170?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP007170,121-090 âÏ?ã¼Ø«øİ??×ìÔ× 173-21,121-090 âÏ?ã¼Ø«øİ?÷ÏïÍÖØ37Ê¶47 ,-642,http://www.yukjeon.com,"øÁìí11:00~15:00, 17:00~22:00 KST ñ²ØÇ11:00~15:00, 16:30~21:30 KST","ò¢?5?? /6??/ÌÈ?ñéäç?/Ïõ??ÖØ Ø«øİó×  2?õóÏ¢,  459m   ",,
13805,zh-TW,Agra,https://tchinese.visitseoul.net/restaurants/Agra/TCP013801?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP013801,140-864 âÏì³÷åÜ¬ã¼×£ß£Ï¡ì±÷ÁêÂìéÔ× 172-2,04351 âÏì³ã¼éÌß£Ï¡×Ş÷ÁêÂÖØ153 ,-9092,http://agra.co.kr/,øÁìí11:30~15:00¡¢17:00~22:00/ñÎØÇ11:30~22:00 KST,ò¢ôÑ6ûÜàÊ×Ş÷ÁêÂó×1ûÜõóÏ¢,,
3671,zh-CN,Noa,https://chinese.visitseoul.net/restaurants/Noa-CN/CNP003667?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP003667,04337 âÏ?ã¼?ß£??ß£Ô×2Ê¶1-524 ,04337 âÏ?ã¼?ß£?ãæ?ÖØ98 ,-1520,,17:00 ~ 22:00 (KST),6?? ?ŞíøÀó×2?õóÏ¢  ,,ëòÓŞ××Øü
35026,zh-CN,Ê¶ÊÇ?Üı?&å¯óÉ,https://chinese.visitseoul.net/restaurants/Ê¶ÊÇ?Üı?å¯óÉ/CNP034997?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP034997, âÏ?ã¼àò???â©1Ê¶661-4 ,04778 âÏ?àò??èÙä¨×ìÖØ 94 ô¸Íöãİù¡ ,-6084,http://naver.me/5844kwDQ,ñ²ì£~ñ²ìí 12:00 ~ 20:00 (ãİî§ñ×???16:00 ~ 17:00),2?? ÔÀ?ó×6?õóÏ¢,??,
14361,zh-TW,ÔÔÌÈãİÓÑ,https://tchinese.visitseoul.net/restaurants/ÔÔÌÈãİÓÑDonggyeong-sikdang5/TCP014359?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP014359,150-881 âÏì³÷åÜ¬ã¼çµÔôøİÏ¡æ£ëøÓöÔ× 28-3,150-881 âÏì³ã¼çµÔôøİÏ¡æ£ëøÓŞÖØ8 ,-7926,,11:00 - 22:00 14:00 - 17:30£¨ıÌãÓãÁÊà£©,"ò¢ôÑ5ûÜàÊ æ£ëøÓöó× 1ûÜõóÏ¢,  578m",,
10799,ko,¶óÄíÄ¡³ª,https://korean.visitseoul.net/restaurants/¶óÄíÄ¡³ª/KOP010798?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP010798, ¼­¿ï ¿ë»ê±¸ ÀÌÅÂ¿øµ¿ 258-7 258-7,04346 ¼­¿ï ¿ë»ê±¸ È¸³ª¹«·Î44±æ 10 (¶óÄíÄ¡³ª) ,02-794-6006,http://www.la-cucina.co.kr,"12:00~15:00, 17:00~21:30 19:30 ¶ó½ºÆ®¿À´õ","ÁöÇÏÃ¶ 6È£¼± ÀÌÅÂ¿ø¿ª 2¹ø Ãâ±¸,  1km ",,
